	e7.5	e7.5	e7.5	e7.5	e7.5
EGR4_MOUSE.H11MO.0.D	1.9345151083247428e-3	1.9345151083247428e-3	1.9345151083247428e-3	1.9345151083247428e-3	1.9345151083247428e-3
EHF_MOUSE.H11MO.0.B	1.9251553616392442e-3	1.9251553616392442e-3	1.9251553616392442e-3	1.9251553616392442e-3	1.9251553616392442e-3
ELF1_MOUSE.H11MO.0.A	2.5755508501556184e-3	2.5755508501556184e-3	2.5755508501556184e-3	2.5755508501556184e-3	2.5755508501556184e-3
ELF2_MOUSE.H11MO.0.C	1.8942955017475292e-3	1.8942955017475292e-3	1.8942955017475292e-3	1.8942955017475292e-3	1.8942955017475292e-3
ELF3_MOUSE.H11MO.0.B	1.771761791625253e-3	1.771761791625253e-3	1.771761791625253e-3	1.771761791625253e-3	1.771761791625253e-3
ELF5_MOUSE.H11MO.0.A	2.23444330511756e-3	2.23444330511756e-3	2.23444330511756e-3	2.23444330511756e-3	2.23444330511756e-3
ELK1_MOUSE.H11MO.0.B	2.2887002813307446e-3	2.2887002813307446e-3	2.2887002813307446e-3	2.2887002813307446e-3	2.2887002813307446e-3
ELK3_MOUSE.H11MO.0.D	1.195213729549236e-3	1.195213729549236e-3	1.195213729549236e-3	1.195213729549236e-3	1.195213729549236e-3
ELK4_MOUSE.H11MO.0.B	2.5525183646055126e-3	2.5525183646055126e-3	2.5525183646055126e-3	2.5525183646055126e-3	2.5525183646055126e-3
EPAS1_MOUSE.H11MO.0.C	1.906442858299365e-4	1.906442858299365e-4	1.906442858299365e-4	1.906442858299365e-4	1.906442858299365e-4
ERG_MOUSE.H11MO.0.A	2.6713480483945926e-3	2.6713480483945926e-3	2.6713480483945926e-3	2.6713480483945926e-3	2.6713480483945926e-3
ERR1_MOUSE.H11MO.0.A	4.1811013497575786e-4	4.1811013497575786e-4	4.1811013497575786e-4	4.1811013497575786e-4	4.1811013497575786e-4
ERR2_MOUSE.H11MO.0.A	4.4657846611284515e-4	4.4657846611284515e-4	4.4657846611284515e-4	4.4657846611284515e-4	4.4657846611284515e-4
ERR3_MOUSE.H11MO.0.C	4.061569310354888e-4	4.061569310354888e-4	4.061569310354888e-4	4.061569310354888e-4	4.061569310354888e-4
ESR1_MOUSE.H11MO.0.A	6.314949112008297e-4	6.314949112008297e-4	6.314949112008297e-4	6.314949112008297e-4	6.314949112008297e-4
ESR1_MOUSE.H11MO.1.A	7.517063309086437e-4	7.517063309086437e-4	7.517063309086437e-4	7.517063309086437e-4	7.517063309086437e-4
ESR2_MOUSE.H11MO.0.A	6.148660674421965e-4	6.148660674421965e-4	6.148660674421965e-4	6.148660674421965e-4	6.148660674421965e-4
ESR2_MOUSE.H11MO.1.A	8.012009316704266e-4	8.012009316704266e-4	8.012009316704266e-4	8.012009316704266e-4	8.012009316704266e-4
ETS1_MOUSE.H11MO.0.A	2.8621193417942437e-3	2.8621193417942437e-3	2.8621193417942437e-3	2.8621193417942437e-3	2.8621193417942437e-3
ETS2_MOUSE.H11MO.0.A	1.699242659931257e-3	1.699242659931257e-3	1.699242659931257e-3	1.699242659931257e-3	1.699242659931257e-3
ETV2_MOUSE.H11MO.0.A	2.4733974866679794e-3	2.4733974866679794e-3	2.4733974866679794e-3	2.4733974866679794e-3	2.4733974866679794e-3
ETV4_MOUSE.H11MO.0.B	1.8906027507128765e-3	1.8906027507128765e-3	1.8906027507128765e-3	1.8906027507128765e-3	1.8906027507128765e-3
ETV5_MOUSE.H11MO.0.D	2.3689214997162245e-3	2.3689214997162245e-3	2.3689214997162245e-3	2.3689214997162245e-3	2.3689214997162245e-3
ETV6_MOUSE.H11MO.0.C	1.7463505523870118e-3	1.7463505523870118e-3	1.7463505523870118e-3	1.7463505523870118e-3	1.7463505523870118e-3
EVI1_MOUSE.H11MO.0.B	2.8901004103640065e-4	2.8901004103640065e-4	2.8901004103640065e-4	2.8901004103640065e-4	2.8901004103640065e-4
EVX1_MOUSE.H11MO.0.C	1.6445141954354907e-4	1.6445141954354907e-4	1.6445141954354907e-4	1.6445141954354907e-4	1.6445141954354907e-4
EVX2_MOUSE.H11MO.0.A	4.5166376052208654e-4	4.5166376052208654e-4	4.5166376052208654e-4	4.5166376052208654e-4	4.5166376052208654e-4
FEV_MOUSE.H11MO.0.B	1.4953569242448744e-3	1.4953569242448744e-3	1.4953569242448744e-3	1.4953569242448744e-3	1.4953569242448744e-3
FLI1_MOUSE.H11MO.0.A	2.8458047158017225e-3	2.8458047158017225e-3	2.8458047158017225e-3	2.8458047158017225e-3	2.8458047158017225e-3
FLI1_MOUSE.H11MO.1.A	3.275916854688349e-3	3.275916854688349e-3	3.275916854688349e-3	3.275916854688349e-3	3.275916854688349e-3
FOS_MOUSE.H11MO.0.A	2.209530347833658e-3	2.209530347833658e-3	2.209530347833658e-3	2.209530347833658e-3	2.209530347833658e-3
FOSB_MOUSE.H11MO.0.A	2.150853951855467e-3	2.150853951855467e-3	2.150853951855467e-3	2.150853951855467e-3	2.150853951855467e-3
FOSL1_MOUSE.H11MO.0.A	2.2435113197834637e-3	2.2435113197834637e-3	2.2435113197834637e-3	2.2435113197834637e-3	2.2435113197834637e-3
FOSL2_MOUSE.H11MO.0.A	2.2354016876123557e-3	2.2354016876123557e-3	2.2354016876123557e-3	2.2354016876123557e-3	2.2354016876123557e-3
FOXA1_MOUSE.H11MO.0.A	2.110697029787388e-4	2.110697029787388e-4	2.110697029787388e-4	2.110697029787388e-4	2.110697029787388e-4
FOXA2_MOUSE.H11MO.0.A	2.3857205689799168e-4	2.3857205689799168e-4	2.3857205689799168e-4	2.3857205689799168e-4	2.3857205689799168e-4
FOXA3_MOUSE.H11MO.0.A	2.671523452923882e-4	2.671523452923882e-4	2.671523452923882e-4	2.671523452923882e-4	2.671523452923882e-4
FOXC1_MOUSE.H11MO.0.C	1.729509053501213e-4	1.729509053501213e-4	1.729509053501213e-4	1.729509053501213e-4	1.729509053501213e-4
FOXC2_MOUSE.H11MO.0.D	1.7293306142057135e-4	1.7293306142057135e-4	1.7293306142057135e-4	1.7293306142057135e-4	1.7293306142057135e-4
FOXD1_MOUSE.H11MO.0.D	1.9182444797321551e-4	1.9182444797321551e-4	1.9182444797321551e-4	1.9182444797321551e-4	1.9182444797321551e-4
FOXD3_MOUSE.H11MO.0.C	3.53181944760236e-4	3.53181944760236e-4	3.53181944760236e-4	3.53181944760236e-4	3.53181944760236e-4
FOXF1_MOUSE.H11MO.0.D	1.9045777647440774e-4	1.9045777647440774e-4	1.9045777647440774e-4	1.9045777647440774e-4	1.9045777647440774e-4
FOXF2_MOUSE.H11MO.0.D	1.8357400660306113e-4	1.8357400660306113e-4	1.8357400660306113e-4	1.8357400660306113e-4	1.8357400660306113e-4
FOXI1_MOUSE.H11MO.0.B	1.7818348368566575e-3	1.7818348368566575e-3	1.7818348368566575e-3	1.7818348368566575e-3	1.7818348368566575e-3
FOXJ2_MOUSE.H11MO.0.C	2.930686264129551e-4	2.930686264129551e-4	2.930686264129551e-4	2.930686264129551e-4	2.930686264129551e-4
FOXJ3_MOUSE.H11MO.0.A	2.210162456417213e-4	2.210162456417213e-4	2.210162456417213e-4	2.210162456417213e-4	2.210162456417213e-4
FOXJ3_MOUSE.H11MO.1.B	2.1025669343206058e-4	2.1025669343206058e-4	2.1025669343206058e-4	2.1025669343206058e-4	2.1025669343206058e-4
FOXK1_MOUSE.H11MO.0.A	3.1087121317420767e-4	3.1087121317420767e-4	3.1087121317420767e-4	3.1087121317420767e-4	3.1087121317420767e-4
FOXL2_MOUSE.H11MO.0.C	2.0182626458492363e-4	2.0182626458492363e-4	2.0182626458492363e-4	2.0182626458492363e-4	2.0182626458492363e-4
FOXM1_MOUSE.H11MO.0.B	3.681219453941844e-4	3.681219453941844e-4	3.681219453941844e-4	3.681219453941844e-4	3.681219453941844e-4
FOXO1_MOUSE.H11MO.0.A	2.8577651716557074e-4	2.8577651716557074e-4	2.8577651716557074e-4	2.8577651716557074e-4	2.8577651716557074e-4
FOXO3_MOUSE.H11MO.0.B	2.0115377668816797e-4	2.0115377668816797e-4	2.0115377668816797e-4	2.0115377668816797e-4	2.0115377668816797e-4
FOXO4_MOUSE.H11MO.0.C	2.546910904215059e-4	2.546910904215059e-4	2.546910904215059e-4	2.546910904215059e-4	2.546910904215059e-4
FOXP2_MOUSE.H11MO.0.A	1.6902457459753675e-4	1.6902457459753675e-4	1.6902457459753675e-4	1.6902457459753675e-4	1.6902457459753675e-4
FOXP3_MOUSE.H11MO.0.D	1.694007178968923e-4	1.694007178968923e-4	1.694007178968923e-4	1.694007178968923e-4	1.694007178968923e-4
FOXQ1_MOUSE.H11MO.0.C	1.1496424608724182e-4	1.1496424608724182e-4	1.1496424608724182e-4	1.1496424608724182e-4	1.1496424608724182e-4
FUBP1_MOUSE.H11MO.0.D	2.3819106045105257e-4	2.3819106045105257e-4	2.3819106045105257e-4	2.3819106045105257e-4	2.3819106045105257e-4
GABPA_MOUSE.H11MO.0.A	2.74975845823266e-3	2.74975845823266e-3	2.74975845823266e-3	2.74975845823266e-3	2.74975845823266e-3
GATA1_MOUSE.H11MO.0.A	4.212860273336718e-4	4.212860273336718e-4	4.212860273336718e-4	4.212860273336718e-4	4.212860273336718e-4
GATA1_MOUSE.H11MO.1.A	4.1047362544001186e-4	4.1047362544001186e-4	4.1047362544001186e-4	4.1047362544001186e-4	4.1047362544001186e-4
GATA2_MOUSE.H11MO.0.A	4.4755077768921463e-4	4.4755077768921463e-4	4.4755077768921463e-4	4.4755077768921463e-4	4.4755077768921463e-4
GATA3_MOUSE.H11MO.0.A	3.8846796429463316e-4	3.8846796429463316e-4	3.8846796429463316e-4	3.8846796429463316e-4	3.8846796429463316e-4
GATA4_MOUSE.H11MO.0.A	4.2942952529018575e-4	4.2942952529018575e-4	4.2942952529018575e-4	4.2942952529018575e-4	4.2942952529018575e-4
GATA5_MOUSE.H11MO.0.D	2.1736818910993158e-4	2.1736818910993158e-4	2.1736818910993158e-4	2.1736818910993158e-4	2.1736818910993158e-4
GATA6_MOUSE.H11MO.0.A	4.570815525146121e-4	4.570815525146121e-4	4.570815525146121e-4	4.570815525146121e-4	4.570815525146121e-4
GCM1_MOUSE.H11MO.0.D	2.4745372930414276e-4	2.4745372930414276e-4	2.4745372930414276e-4	2.4745372930414276e-4	2.4745372930414276e-4
GCR_MOUSE.H11MO.0.A	4.544677972193186e-4	4.544677972193186e-4	4.544677972193186e-4	4.544677972193186e-4	4.544677972193186e-4
GCR_MOUSE.H11MO.1.A	5.610170202050109e-4	5.610170202050109e-4	5.610170202050109e-4	5.610170202050109e-4	5.610170202050109e-4
