	e8.5	e8.5	e8.5	e8.5	e8.5	e8.5
COT2_MOUSE.H11MO.1.B	3.3660116968903253e-4	3.3660116968903253e-4	3.3660116968903253e-4	3.3660116968903253e-4	3.3660116968903253e-4	3.3660116968903253e-4
COT2_MOUSE.H11MO.2.B	2.1037573105564533e-4	2.1037573105564533e-4	2.1037573105564533e-4	2.1037573105564533e-4	2.1037573105564533e-4	2.1037573105564533e-4
CREB1_MOUSE.H11MO.0.A	2.1037573105564533e-4	2.1037573105564533e-4	2.1037573105564533e-4	2.1037573105564533e-4	2.1037573105564533e-4	2.1037573105564533e-4
CREM_MOUSE.H11MO.0.C	3.786763159001616e-4	3.786763159001616e-4	3.786763159001616e-4	3.786763159001616e-4	3.786763159001616e-4	3.786763159001616e-4
CRX_MOUSE.H11MO.0.A	4.291664913535609e-3	4.291664913535609e-3	4.291664913535609e-3	4.291664913535609e-3	4.291664913535609e-3	4.291664913535609e-3
CTCF_MOUSE.H11MO.0.A	0.0	0.0	0.0	0.0	0.0	0.0
CTCFL_MOUSE.H11MO.0.A	0.0	0.0	0.0	0.0	0.0	0.0
CUX1_MOUSE.H11MO.0.C	5.469769007447334e-3	5.469769007447334e-3	5.469769007447334e-3	5.469769007447334e-3	5.469769007447334e-3	5.469769007447334e-3
CUX2_MOUSE.H11MO.0.C	1.2454243278495425e-2	1.2454243278495425e-2	1.2454243278495425e-2	1.2454243278495425e-2	1.2454243278495425e-2	1.2454243278495425e-2
CXXC1_MOUSE.H11MO.0.D	3.3239365506795293e-3	3.3239365506795293e-3	3.3239365506795293e-3	3.3239365506795293e-3	3.3239365506795293e-3	3.3239365506795293e-3
DBP_MOUSE.H11MO.0.B	5.553919299869592e-3	5.553919299869592e-3	5.553919299869592e-3	5.553919299869592e-3	5.553919299869592e-3	5.553919299869592e-3
DDIT3_MOUSE.H11MO.0.C	3.74468801279082e-3	3.74468801279082e-3	3.74468801279082e-3	3.74468801279082e-3	3.74468801279082e-3	3.74468801279082e-3
DLX2_MOUSE.H11MO.0.D	8.120503218748687e-3	8.120503218748687e-3	8.120503218748687e-3	8.120503218748687e-3	8.120503218748687e-3	8.120503218748687e-3
DLX3_MOUSE.H11MO.0.C	6.942399124836962e-3	6.942399124836962e-3	6.942399124836962e-3	6.942399124836962e-3	6.942399124836962e-3	6.942399124836962e-3
DLX5_MOUSE.H11MO.0.C	9.424832751293799e-3	9.424832751293799e-3	9.424832751293799e-3	9.424832751293799e-3	9.424832751293799e-3	9.424832751293799e-3
DMRT1_MOUSE.H11MO.0.C	2.8611099423569986e-3	2.8611099423569986e-3	2.8611099423569986e-3	2.8611099423569986e-3	2.8611099423569986e-3	2.8611099423569986e-3
DMRTB_MOUSE.H11MO.0.C	3.5343122817351746e-3	3.5343122817351746e-3	3.5343122817351746e-3	3.5343122817351746e-3	3.5343122817351746e-3	3.5343122817351746e-3
E2F1_MOUSE.H11MO.0.A	0.0	0.0	0.0	0.0	0.0	0.0
E2F2_MOUSE.H11MO.0.B	1.89338157950103e-3	1.89338157950103e-3	1.89338157950103e-3	1.89338157950103e-3	1.89338157950103e-3	1.89338157950103e-3
E2F3_MOUSE.H11MO.0.A	2.1037573105564533e-4	2.1037573105564533e-4	2.1037573105564533e-4	2.1037573105564533e-4	2.1037573105564533e-4	2.1037573105564533e-4
E2F4_MOUSE.H11MO.0.A	0.0	0.0	0.0	0.0	0.0	0.0
E2F4_MOUSE.H11MO.1.A	4.2075146211129066e-4	4.2075146211129066e-4	4.2075146211129066e-4	4.2075146211129066e-4	4.2075146211129066e-4	4.2075146211129066e-4
E2F5_MOUSE.H11MO.0.B	4.544115790802383e-3	4.544115790802383e-3	4.544115790802383e-3	4.544115790802383e-3	4.544115790802383e-3	4.544115790802383e-3
E2F6_MOUSE.H11MO.0.A	1.6830058484451627e-4	1.6830058484451627e-4	1.6830058484451627e-4	1.6830058484451627e-4	1.6830058484451627e-4	1.6830058484451627e-4
E2F7_MOUSE.H11MO.0.C	0.0	0.0	0.0	0.0	0.0	0.0
E4F1_MOUSE.H11MO.0.D	2.524508772667744e-4	2.524508772667744e-4	2.524508772667744e-4	2.524508772667744e-4	2.524508772667744e-4	2.524508772667744e-4
EGR1_MOUSE.H11MO.0.A	0.0	0.0	0.0	0.0	0.0	0.0
EGR2_MOUSE.H11MO.0.A	0.0	0.0	0.0	0.0	0.0	0.0
EGR2_MOUSE.H11MO.1.A	0.0	0.0	0.0	0.0	0.0	0.0
EGR3_MOUSE.H11MO.0.D	1.262254386333983e-3	1.262254386333983e-3	1.262254386333983e-3	1.262254386333983e-3	1.262254386333983e-3	1.262254386333983e-3
EGR4_MOUSE.H11MO.0.D	0.0	0.0	0.0	0.0	0.0	0.0
EHF_MOUSE.H11MO.0.B	0.0	0.0	0.0	0.0	0.0	0.0
ELF1_MOUSE.H11MO.0.A	0.0	0.0	0.0	0.0	0.0	0.0
ELF2_MOUSE.H11MO.0.C	4.2075146211129066e-5	4.2075146211129066e-5	4.2075146211129066e-5	4.2075146211129066e-5	4.2075146211129066e-5	4.2075146211129066e-5
ELF3_MOUSE.H11MO.0.B	0.0	0.0	0.0	0.0	0.0	0.0
ELF5_MOUSE.H11MO.0.A	0.0	0.0	0.0	0.0	0.0	0.0
ELK1_MOUSE.H11MO.0.B	0.0	0.0	0.0	0.0	0.0	0.0
ELK3_MOUSE.H11MO.0.D	2.1037573105564533e-4	2.1037573105564533e-4	2.1037573105564533e-4	2.1037573105564533e-4	2.1037573105564533e-4	2.1037573105564533e-4
ELK4_MOUSE.H11MO.0.B	0.0	0.0	0.0	0.0	0.0	0.0
EPAS1_MOUSE.H11MO.0.C	6.10089620061427e-3	6.10089620061427e-3	6.10089620061427e-3	6.10089620061427e-3	6.10089620061427e-3	6.10089620061427e-3
ERG_MOUSE.H11MO.0.A	0.0	0.0	0.0	0.0	0.0	0.0
ERR1_MOUSE.H11MO.0.A	1.6409307022341446e-3	1.6409307022341446e-3	1.6409307022341446e-3	1.6409307022341446e-3	1.6409307022341446e-3	1.6409307022341446e-3
ERR2_MOUSE.H11MO.0.A	1.5567804098118865e-3	1.5567804098118865e-3	1.5567804098118865e-3	1.5567804098118865e-3	1.5567804098118865e-3	1.5567804098118865e-3
ERR3_MOUSE.H11MO.0.C	1.220179240122854e-3	1.220179240122854e-3	1.220179240122854e-3	1.220179240122854e-3	1.220179240122854e-3	1.220179240122854e-3
ESR1_MOUSE.H11MO.0.A	3.786763159001616e-4	3.786763159001616e-4	3.786763159001616e-4	3.786763159001616e-4	3.786763159001616e-4	3.786763159001616e-4
ESR1_MOUSE.H11MO.1.A	5.89052046955918e-4	5.89052046955918e-4	5.89052046955918e-4	5.89052046955918e-4	5.89052046955918e-4	5.89052046955918e-4
ESR2_MOUSE.H11MO.0.A	3.3660116968903253e-4	3.3660116968903253e-4	3.3660116968903253e-4	3.3660116968903253e-4	3.3660116968903253e-4	3.3660116968903253e-4
ESR2_MOUSE.H11MO.1.A	3.3660116968903253e-4	3.3660116968903253e-4	3.3660116968903253e-4	3.3660116968903253e-4	3.3660116968903253e-4	3.3660116968903253e-4
ETS1_MOUSE.H11MO.0.A	0.0	0.0	0.0	0.0	0.0	0.0
