	e8.5	e8.5	e8.5	e8.5	e8.5	e8.5
CXXC1_MOUSE.H11MO.0.D	3.29547148376005e-4	3.29547148376005e-4	3.29547148376005e-4	3.29547148376005e-4	3.29547148376005e-4	3.29547148376005e-4
DBP_MOUSE.H11MO.0.B	2.1160963771338495e-4	2.1160963771338495e-4	2.1160963771338495e-4	2.1160963771338495e-4	2.1160963771338495e-4	2.1160963771338495e-4
DDIT3_MOUSE.H11MO.0.C	2.936904402324082e-4	2.936904402324082e-4	2.936904402324082e-4	2.936904402324082e-4	2.936904402324082e-4	2.936904402324082e-4
DLX2_MOUSE.H11MO.0.D	1.5222586571374318e-4	1.5222586571374318e-4	1.5222586571374318e-4	1.5222586571374318e-4	1.5222586571374318e-4	1.5222586571374318e-4
DLX3_MOUSE.H11MO.0.C	1.7683894689482263e-4	1.7683894689482263e-4	1.7683894689482263e-4	1.7683894689482263e-4	1.7683894689482263e-4	1.7683894689482263e-4
DLX5_MOUSE.H11MO.0.C	1.363316965978117e-4	1.363316965978117e-4	1.363316965978117e-4	1.363316965978117e-4	1.363316965978117e-4	1.363316965978117e-4
DMRT1_MOUSE.H11MO.0.C	3.5047990915297166e-4	3.5047990915297166e-4	3.5047990915297166e-4	3.5047990915297166e-4	3.5047990915297166e-4	3.5047990915297166e-4
DMRTB_MOUSE.H11MO.0.C	3.161300240788547e-4	3.161300240788547e-4	3.161300240788547e-4	3.161300240788547e-4	3.161300240788547e-4	3.161300240788547e-4
E2F1_MOUSE.H11MO.0.A	2.2188938594526588e-3	2.2188938594526588e-3	2.2188938594526588e-3	2.2188938594526588e-3	2.2188938594526588e-3	2.2188938594526588e-3
E2F2_MOUSE.H11MO.0.B	4.1268554507241546e-4	4.1268554507241546e-4	4.1268554507241546e-4	4.1268554507241546e-4	4.1268554507241546e-4	4.1268554507241546e-4
E2F3_MOUSE.H11MO.0.A	1.1313345992299078e-3	1.1313345992299078e-3	1.1313345992299078e-3	1.1313345992299078e-3	1.1313345992299078e-3	1.1313345992299078e-3
E2F4_MOUSE.H11MO.0.A	2.6849725926117018e-3	2.6849725926117018e-3	2.6849725926117018e-3	2.6849725926117018e-3	2.6849725926117018e-3	2.6849725926117018e-3
E2F4_MOUSE.H11MO.1.A	6.956549834970343e-4	6.956549834970343e-4	6.956549834970343e-4	6.956549834970343e-4	6.956549834970343e-4	6.956549834970343e-4
E2F5_MOUSE.H11MO.0.B	2.5199542864007886e-4	2.5199542864007886e-4	2.5199542864007886e-4	2.5199542864007886e-4	2.5199542864007886e-4	2.5199542864007886e-4
E2F6_MOUSE.H11MO.0.A	1.2738468163398632e-3	1.2738468163398632e-3	1.2738468163398632e-3	1.2738468163398632e-3	1.2738468163398632e-3	1.2738468163398632e-3
E2F7_MOUSE.H11MO.0.C	1.7240834606622652e-3	1.7240834606622652e-3	1.7240834606622652e-3	1.7240834606622652e-3	1.7240834606622652e-3	1.7240834606622652e-3
E4F1_MOUSE.H11MO.0.D	9.24117842327612e-4	9.24117842327612e-4	9.24117842327612e-4	9.24117842327612e-4	9.24117842327612e-4	9.24117842327612e-4
EGR1_MOUSE.H11MO.0.A	1.8973961304680112e-3	1.8973961304680112e-3	1.8973961304680112e-3	1.8973961304680112e-3	1.8973961304680112e-3	1.8973961304680112e-3
EGR2_MOUSE.H11MO.0.A	1.9358753914356039e-3	1.9358753914356039e-3	1.9358753914356039e-3	1.9358753914356039e-3	1.9358753914356039e-3	1.9358753914356039e-3
EGR2_MOUSE.H11MO.1.A	2.4174475028197005e-3	2.4174475028197005e-3	2.4174475028197005e-3	2.4174475028197005e-3	2.4174475028197005e-3	2.4174475028197005e-3
EGR3_MOUSE.H11MO.0.D	4.7049100578890177e-4	4.7049100578890177e-4	4.7049100578890177e-4	4.7049100578890177e-4	4.7049100578890177e-4	4.7049100578890177e-4
EGR4_MOUSE.H11MO.0.D	1.6396814261469142e-3	1.6396814261469142e-3	1.6396814261469142e-3	1.6396814261469142e-3	1.6396814261469142e-3	1.6396814261469142e-3
EHF_MOUSE.H11MO.0.B	1.701946898012553e-3	1.701946898012553e-3	1.701946898012553e-3	1.701946898012553e-3	1.701946898012553e-3	1.701946898012553e-3
ELF1_MOUSE.H11MO.0.A	2.0949273929788707e-3	2.0949273929788707e-3	2.0949273929788707e-3	2.0949273929788707e-3	2.0949273929788707e-3	2.0949273929788707e-3
ELF2_MOUSE.H11MO.0.C	1.6281717957392383e-3	1.6281717957392383e-3	1.6281717957392383e-3	1.6281717957392383e-3	1.6281717957392383e-3	1.6281717957392383e-3
ELF3_MOUSE.H11MO.0.B	1.646762791847153e-3	1.646762791847153e-3	1.646762791847153e-3	1.646762791847153e-3	1.646762791847153e-3	1.646762791847153e-3
ELF5_MOUSE.H11MO.0.A	2.200929677214438e-3	2.200929677214438e-3	2.200929677214438e-3	2.200929677214438e-3	2.200929677214438e-3	2.200929677214438e-3
ELK1_MOUSE.H11MO.0.B	1.8467549424709944e-3	1.8467549424709944e-3	1.8467549424709944e-3	1.8467549424709944e-3	1.8467549424709944e-3	1.8467549424709944e-3
ELK3_MOUSE.H11MO.0.D	1.0752689828106897e-3	1.0752689828106897e-3	1.0752689828106897e-3	1.0752689828106897e-3	1.0752689828106897e-3	1.0752689828106897e-3
ELK4_MOUSE.H11MO.0.B	2.140249199540027e-3	2.140249199540027e-3	2.140249199540027e-3	2.140249199540027e-3	2.140249199540027e-3	2.140249199540027e-3
EPAS1_MOUSE.H11MO.0.C	1.897038035548656e-4	1.897038035548656e-4	1.897038035548656e-4	1.897038035548656e-4	1.897038035548656e-4	1.897038035548656e-4
ERG_MOUSE.H11MO.0.A	2.224744010095953e-3	2.224744010095953e-3	2.224744010095953e-3	2.224744010095953e-3	2.224744010095953e-3	2.224744010095953e-3
ERR1_MOUSE.H11MO.0.A	4.343338349534932e-4	4.343338349534932e-4	4.343338349534932e-4	4.343338349534932e-4	4.343338349534932e-4	4.343338349534932e-4
ERR2_MOUSE.H11MO.0.A	4.3971310430473385e-4	4.3971310430473385e-4	4.3971310430473385e-4	4.3971310430473385e-4	4.3971310430473385e-4	4.3971310430473385e-4
ERR3_MOUSE.H11MO.0.C	4.837385404826946e-4	4.837385404826946e-4	4.837385404826946e-4	4.837385404826946e-4	4.837385404826946e-4	4.837385404826946e-4
ESR1_MOUSE.H11MO.0.A	7.259545545740284e-4	7.259545545740284e-4	7.259545545740284e-4	7.259545545740284e-4	7.259545545740284e-4	7.259545545740284e-4
ESR1_MOUSE.H11MO.1.A	6.674624698702776e-4	6.674624698702776e-4	6.674624698702776e-4	6.674624698702776e-4	6.674624698702776e-4	6.674624698702776e-4
ESR2_MOUSE.H11MO.0.A	7.685481408581165e-4	7.685481408581165e-4	7.685481408581165e-4	7.685481408581165e-4	7.685481408581165e-4	7.685481408581165e-4
ESR2_MOUSE.H11MO.1.A	8.436786040152685e-4	8.436786040152685e-4	8.436786040152685e-4	8.436786040152685e-4	8.436786040152685e-4	8.436786040152685e-4
ETS1_MOUSE.H11MO.0.A	2.3177871941455186e-3	2.3177871941455186e-3	2.3177871941455186e-3	2.3177871941455186e-3	2.3177871941455186e-3	2.3177871941455186e-3
ETS2_MOUSE.H11MO.0.A	1.6278894404883467e-3	1.6278894404883467e-3	1.6278894404883467e-3	1.6278894404883467e-3	1.6278894404883467e-3	1.6278894404883467e-3
ETV2_MOUSE.H11MO.0.A	2.146426295208566e-3	2.146426295208566e-3	2.146426295208566e-3	2.146426295208566e-3	2.146426295208566e-3	2.146426295208566e-3
ETV4_MOUSE.H11MO.0.B	1.5893875103119542e-3	1.5893875103119542e-3	1.5893875103119542e-3	1.5893875103119542e-3	1.5893875103119542e-3	1.5893875103119542e-3
ETV5_MOUSE.H11MO.0.D	2.200680582442844e-3	2.200680582442844e-3	2.200680582442844e-3	2.200680582442844e-3	2.200680582442844e-3	2.200680582442844e-3
ETV6_MOUSE.H11MO.0.C	1.483674097211957e-3	1.483674097211957e-3	1.483674097211957e-3	1.483674097211957e-3	1.483674097211957e-3	1.483674097211957e-3
EVI1_MOUSE.H11MO.0.B	3.3551749195618913e-4	3.3551749195618913e-4	3.3551749195618913e-4	3.3551749195618913e-4	3.3551749195618913e-4	3.3551749195618913e-4
EVX1_MOUSE.H11MO.0.C	1.514140601805293e-4	1.514140601805293e-4	1.514140601805293e-4	1.514140601805293e-4	1.514140601805293e-4	1.514140601805293e-4
EVX2_MOUSE.H11MO.0.A	2.796113015651721e-4	2.796113015651721e-4	2.796113015651721e-4	2.796113015651721e-4	2.796113015651721e-4	2.796113015651721e-4
FEV_MOUSE.H11MO.0.B	1.3477473336521517e-3	1.3477473336521517e-3	1.3477473336521517e-3	1.3477473336521517e-3	1.3477473336521517e-3	1.3477473336521517e-3
FLI1_MOUSE.H11MO.0.A	2.4386298927618383e-3	2.4386298927618383e-3	2.4386298927618383e-3	2.4386298927618383e-3	2.4386298927618383e-3	2.4386298927618383e-3
FLI1_MOUSE.H11MO.1.A	3.1536360630290113e-3	3.1536360630290113e-3	3.1536360630290113e-3	3.1536360630290113e-3	3.1536360630290113e-3	3.1536360630290113e-3
FOS_MOUSE.H11MO.0.A	1.4379960380975268e-3	1.4379960380975268e-3	1.4379960380975268e-3	1.4379960380975268e-3	1.4379960380975268e-3	1.4379960380975268e-3
FOSB_MOUSE.H11MO.0.A	1.4595414701701844e-3	1.4595414701701844e-3	1.4595414701701844e-3	1.4595414701701844e-3	1.4595414701701844e-3	1.4595414701701844e-3
FOSL1_MOUSE.H11MO.0.A	1.4714997870822113e-3	1.4714997870822113e-3	1.4714997870822113e-3	1.4714997870822113e-3	1.4714997870822113e-3	1.4714997870822113e-3
